Team,Match_ID,Outcome,Carries,Metres_Made,Defenders_Beaten,Offloads,Passes,Tackles,Clean_Breaks,Turnovers_Won,Rucks_Won,Lineout_Throws_Won,Season,Match_Location
DHL Stormers,268146,win,99,506,19,15,128,50,9,6,4,16,21/22,home
Benetton Rugby,268147,win,93,434,25,13,109,119,7,12,4,11,21/22,away
Zebre Parma,268147,loss,98,424,9,7,124,84,2,7,7,10,21/22,home
Cardiff Rugby,268148,loss,94,321,17,11,127,152,4,6,8,4,21/22,home
Scarlets,268148,win,154,407,18,17,169,78,7,9,3,13,21/22,away
Ulster Rugby,268149,win,128,448,32,9,183,121,8,9,11,11,21/22,home
Connacht Rugby,268149,loss,98,254,19,3,133,140,3,10,10,14,21/22,away
Ospreys,268150,win,113,407,19,12,167,118,4,7,4,10,21/22,home
Dragons RFC,268150,loss,107,350,15,8,149,134,4,4,8,12,21/22,away
Leinster Rugby,268151,win,134,328,7,6,198,154,3,6,2,12,21/22,away
Munster Rugby,268151,loss,112,261,8,6,137,191,1,3,4,4,21/22,home
Edinburgh Rugby,268152,loss,110,283,11,6,107,141,2,7,6,16,21/22,away
Glasgow Warriors,268152,win,103,295,14,8,112,168,3,7,5,7,21/22,home
Cardiff Rugby,268153,win,93,342,10,5,116,103,4,10,4,8,21/22,away
Dragons RFC,268153,loss,88,240,16,6,112,85,2,6,6,16,21/22,home
Munster Rugby,268154,loss,64,201,3,1,45,139,2,10,2,8,21/22,away
Connacht Rugby,268154,win,131,372,13,12,167,80,5,4,5,20,21/22,home
Ospreys,268155,loss,90,247,14,12,116,138,4,8,10,12,21/22,away
Scarlets,268155,win,142,328,15,19,180,105,7,7,8,13,21/22,home
Leinster Rugby,268156,loss,147,257,9,3,137,133,2,5,3,10,21/22,away
Ulster Rugby,268156,win,99,262,12,5,98,211,2,6,6,10,21/22,home
Benetton Rugby,268157,win,85,419,19,7,88,66,8,5,5,15,21/22,home
Zebre Parma,268157,loss,72,257,10,10,100,82,3,4,6,17,21/22,away
Edinburgh Rugby,268158,win,104,389,18,8,124,167,7,9,4,12,21/22,home
Glasgow Warriors,268158,loss,127,361,17,10,180,133,3,6,6,11,21/22,away
Emirates Lions,268159,loss,111,409,23,6,116,144,4,10,4,14,21/22,away
Leinster Rugby,268159,win,141,474,17,19,220,127,6,8,7,16,21/22,home
Hollywoodbets Sharks,268160,win,115,386,27,15,150,112,7,3,6,12,21/22,away
Benetton Rugby,268160,loss,95,254,20,5,138,132,3,6,5,10,21/22,home
Zebre Parma,268161,loss,68,252,11,3,86,148,2,10,5,7,21/22,home
Vodacom Bulls,268161,win,124,482,21,16,158,90,5,4,4,17,21/22,away
Edinburgh Rugby,268162,win,140,724,44,22,210,131,12,8,10,15,21/22,home
Cardiff Rugby,268162,loss,122,425,20,4,139,116,4,11,6,9,21/22,away
DHL Stormers,268163,loss,71,270,6,1,90,189,2,7,1,8,21/22,away
Connacht Rugby,268163,win,152,406,20,13,199,94,5,3,7,12,21/22,home
Ospreys,268164,loss,74,261,11,7,106,163,3,8,6,6,21/22,away
Glasgow Warriors,268164,win,140,538,23,9,173,81,7,8,6,16,21/22,home
Ulster Rugby,268165,loss,97,187,9,1,118,224,0,7,8,17,21/22,away
Munster Rugby,268165,win,148,304,14,7,140,121,1,7,3,9,21/22,home
Scarlets,268166,loss,123,363,5,7,136,149,7,8,6,15,21/22,home
Dragons RFC,268166,win,129,404,25,6,159,150,9,5,7,8,21/22,away
Glasgow Warriors,268167,win,127,409,15,9,172,173,6,9,2,10,21/22,away
Connacht Rugby,268167,loss,125,312,8,6,135,141,3,4,5,5,21/22,home
Ulster Rugby,268168,win,160,354,17,10,211,149,5,9,5,10,21/22,home
Scarlets,268168,loss,129,310,13,10,156,211,5,6,7,7,21/22,away
Cardiff Rugby,268169,win,137,332,20,16,172,150,5,8,6,10,21/22,home
Leinster Rugby,268169,loss,122,262,22,7,138,164,2,5,7,14,21/22,away
Ospreys,268171,win,64,214,10,5,73,154,3,10,5,12,21/22,home
Edinburgh Rugby,268171,loss,118,392,16,6,126,64,3,7,7,14,21/22,away
Vodacom Bulls,268172,win,109,348,20,11,142,56,3,10,7,19,21/22,home
Emirates Lions,268172,loss,53,210,7,3,47,124,1,8,8,10,21/22,away
DHL Stormers,268173,win,101,318,19,9,127,79,8,7,4,14,21/22,home
Hollywoodbets Sharks,268173,loss,74,275,11,7,103,92,3,2,7,9,21/22,away
Zebre Parma,268174,loss,96,195,16,5,107,106,4,4,3,11,21/22,home
Munster Rugby,268174,win,92,319,20,10,115,125,4,5,5,13,21/22,away
Emirates Lions,268175,loss,106,338,12,7,103,64,8,8,7,8,21/22,home
Hollywoodbets Sharks,268175,win,88,330,16,17,106,105,9,10,6,9,21/22,away
Vodacom Bulls,268176,loss,110,384,21,12,103,87,5,4,9,15,21/22,away
DHL Stormers,268176,win,86,364,25,12,122,134,7,10,7,9,21/22,home
Vodacom Bulls,268177,loss,133,432,22,20,147,47,7,8,5,10,21/22,home
Hollywoodbets Sharks,268177,win,54,239,15,5,71,140,2,8,9,16,21/22,away
Emirates Lions,268178,win,95,527,17,16,116,188,10,8,5,4,21/22,away
DHL Stormers,268178,loss,158,530,24,20,187,77,6,8,5,14,21/22,home
Leinster Rugby,268179,win,155,562,12,13,157,111,3,3,5,17,21/22,home
Ospreys,268179,loss,87,270,13,5,129,175,2,6,3,13,21/22,away
Edinburgh Rugby,268180,loss,129,311,19,4,161,74,3,5,6,14,21/22,away
Munster Rugby,268180,win,77,258,12,7,98,183,4,9,2,10,21/22,home
Zebre Parma,268181,loss,126,341,24,9,167,164,3,8,7,14,21/22,away
Cardiff Rugby,268181,win,134,421,25,8,147,162,9,10,8,9,21/22,home
Dragons RFC,268182,loss,121,220,10,5,161,126,0,9,6,9,21/22,home
Ulster Rugby,268182,win,95,270,10,7,89,140,1,6,8,9,21/22,away
Connacht Rugby,268183,win,102,367,11,7,118,166,2,3,10,11,21/22,away
Scarlets,268183,loss,115,354,6,6,131,114,2,6,4,15,21/22,home
Emirates Lions,268184,loss,96,424,9,12,114,83,5,8,6,6,21/22,home
DHL Stormers,268184,win,98,473,24,18,146,101,9,9,5,17,21/22,away
Vodacom Bulls,268185,loss,67,245,6,6,109,69,5,7,6,13,21/22,away
Hollywoodbets Sharks,268185,win,69,350,9,3,79,63,6,6,9,10,21/22,home
Benetton Rugby,268186,loss,94,299,10,6,117,181,0,9,5,16,21/22,away
Glasgow Warriors,268186,win,143,315,22,9,178,117,2,7,3,12,21/22,home
Munster Rugby,268187,win,157,760,38,16,235,90,16,6,4,17,21/22,home
Dragons RFC,268187,loss,73,186,7,3,99,166,2,8,7,8,21/22,away
Ulster Rugby,268188,win,123,481,18,10,169,126,8,9,1,15,21/22,home
Cardiff Rugby,268188,loss,118,325,10,12,152,148,4,4,4,7,21/22,away
Glasgow Warriors,268189,loss,127,359,18,10,164,149,1,6,9,13,21/22,away
Scarlets,268189,win,124,398,16,13,172,140,5,7,4,15,21/22,home
Ospreys,268190,win,128,258,27,3,171,102,1,4,6,19,21/22,home
Zebre Parma,268190,loss,85,407,18,11,93,165,7,3,1,10,21/22,away
DHL Stormers,268191,win,68,286,12,5,90,164,5,3,4,13,21/22,away
Vodacom Bulls,268191,loss,117,344,21,8,138,63,6,5,12,20,21/22,home
Emirates Lions,268192,loss,76,125,3,2,78,69,1,5,4,11,21/22,away
Hollywoodbets Sharks,268192,win,71,309,6,6,99,89,3,7,5,13,21/22,home
Connacht Rugby,268193,loss,71,274,8,9,111,157,4,2,7,6,21/22,away
Edinburgh Rugby,268193,win,135,547,29,12,161,67,11,7,3,14,21/22,home
Benetton Rugby,268194,loss,73,342,7,5,74,185,3,7,2,9,21/22,home
