Number,Date,Team.Stats.for,Match,Tries,PenGoals,Cons,Drops,MissedGoals,PenTries,Carry,MetresMade,DefenderBeaten,Offload,Pass,Tackle,MissedTackle,Turnover,KicksfromHand,CleanBreaks,Turnovers.Won,LineoutsWon,LineoutsLost,ScrumsWon,ScrumsLost,RucksWon,RucksLost,Total.Penalty.Conceded,Free.Kicks,Scrum.Penalty,Lineout.Penalty,Tackle.Ruck...Maul.Pens,Gen.Play.Pens,Control.Pens,YellowCards,RedCards,Match.Type,Season,PF,PA,PD,Match.Outcome,Home.or.Away
150,24/10/2020,Ospreys,Ospreys v Glasgow Warriors,0,2,1,0,-1,0,-28,-96,-15,-2,-33,33,15,-4,6,-1,1,-1,2,0,0,-29,3,1,0,-3,0,4,0,0,1,0,Regular,S20,23,15,8,W,H
51,08/11/2020,Leinster,Ospreys v Leinster,3,0,3,0,1,-1,17,292,8,8,-11,-6,-8,8,-1,7,0,-7,0,-2,0,2,-3,-1,-2,2,0,-1,-1,-1,1,0,Regular,S20,26,7,19,W,A
52,08/11/2020,Ospreys,Ospreys v Leinster,-3,0,-3,0,-1,1,-17,-292,-8,-8,11,6,8,-8,1,-7,0,7,0,2,0,-2,3,1,2,-2,0,1,1,1,-1,0,Regular,S20,7,26,-19,L,H
165,26/12/2020,Ospreys,Ospreys v Scarlets,0,0,-1,0,-1,0,-42,-15,3,-2,-46,76,-3,1,-9,0,2,5,3,-5,2,-41,-1,-1,0,0,-1,-4,4,0,0,0,Regular,S20,14,16,-2,L,H
166,26/12/2020,Scarlets,Ospreys v Scarlets,0,0,1,0,1,0,42,15,-3,2,46,-76,3,-1,9,0,-2,-5,-3,5,-2,41,1,1,0,0,1,4,-4,0,0,0,Regular,S20,16,14,2,W,A
75,10/10/2020,Ospreys,Ospreys v Ulster,-3,3,-3,0,-2,0,-57,-208,-15,-6,-67,69,15,3,-12,-7,-3,1,5,-4,-1,-47,-3,-7,0,-2,0,-5,-1,0,0,-1,Regular,S20,12,24,-12,L,H
76,10/10/2020,Ulster,Ospreys v Ulster,3,-3,3,0,2,0,57,208,15,6,67,-69,-15,-3,12,7,3,-1,-5,4,1,47,3,7,0,2,0,5,1,0,0,1,Regular,S20,24,12,12,W,A
118,20/02/2021,Ospreys,Ospreys v Zebre,1,1,1,0,0,0,-42,-182,-9,-7,-31,42,9,-6,-2,-3,1,2,3,9,1,-27,0,0,0,-2,0,2,-1,0,1,0,Regular,S20,10,0,10,W,H
120,20/02/2021,Zebre,Ospreys v Zebre,-1,-1,-1,0,0,0,42,182,9,7,31,-42,-9,6,2,3,-1,-2,-3,-9,-1,27,0,0,0,2,0,-2,1,0,-1,0,Regular,S20,0,10,-10,L,A
113,20/02/2021,Benetton,Scarlets v Benetton,-4,0,-2,0,-2,0,-70,-301,-16,-5,-106,80,16,0,-2,-4,-2,-4,-1,-5,0,-48,-2,10,1,3,-1,4,2,2,2,0,Regular,S20,17,41,-24,L,A
119,20/02/2021,Scarlets,Scarlets v Benetton,4,0,2,0,2,0,70,301,16,5,106,-80,-16,0,2,4,2,4,1,5,0,48,2,-10,-1,-3,1,-4,-2,-2,-2,0,Regular,S20,41,17,24,W,H
123,22/01/2021,Cardiff,Scarlets v Cardiff Blues,0,1,0,0,0,0,-31,-11,8,-1,-100,50,-8,1,0,4,-6,-5,-2,2,-1,-32,-2,0,0,0,0,0,0,0,-1,0,Regular,S20,13,10,3,W,A
124,22/01/2021,Scarlets,Scarlets v Cardiff Blues,0,-1,0,0,0,0,31,11,-8,1,100,-50,8,-1,0,-4,6,5,2,-2,1,32,2,0,0,0,0,0,0,0,1,0,Regular,S20,10,13,-3,L,H
126,22/03/2021,Connacht,Scarlets v Connacht,-1,0,0,0,-1,0,6,85,3,0,9,10,-3,7,-10,5,-1,0,1,2,-1,-5,1,-2,0,-1,0,1,-1,-1,-2,0,Regular,S20,36,41,-5,L,A
128,22/03/2021,Scarlets,Scarlets v Connacht,1,0,0,0,1,0,-6,-85,-3,0,-9,-10,3,-7,10,-5,1,0,-1,-2,1,5,-1,2,0,1,0,-1,1,1,2,0,Regular,S20,41,36,5,W,H
2,01/01/2021,Dragons,Scarlets v Dragons,-2,-1,-2,0,1,0,-17,-33,-9,-3,-23,-5,9,-6,1,-10,1,-1,-1,2,0,1,0,1,0,-2,1,1,1,0,1,0,Regular,S20,3,20,-17,L,A
4,01/01/2021,Scarlets,Scarlets v Dragons,2,1,2,0,-1,0,17,33,9,3,23,5,-9,6,-1,10,-1,1,1,-2,0,-1,0,-1,0,2,-1,-1,-1,0,-1,0,Regular,S20,20,3,17,W,H
6,01/11/2020,Edinburgh,Scarlets v Edinburgh,0,1,0,0,0,0,-9,-51,0,-1,-35,11,0,9,1,-5,0,4,2,7,-2,-7,-3,-15,-1,-8,1,-5,-2,-1,-1,-1,Regular,S20,6,3,3,W,A
8,01/11/2020,Scarlets,Scarlets v Edinburgh,0,-1,0,0,0,0,9,51,0,1,35,-11,0,-9,-1,5,0,-4,-2,-7,2,7,3,15,1,8,-1,5,2,1,1,1,Regular,S20,3,6,-3,L,H
186,30/01/2021,Leinster,Scarlets v Leinster,4,-1,4,0,-1,1,35,72,-2,-8,-46,-67,2,-2,5,0,2,-6,1,4,0,39,-2,1,0,0,0,-1,2,0,0,0,Regular,S20,52,25,27,W,A
188,30/01/2021,Scarlets,Scarlets v Leinster,-4,1,-4,0,1,-1,-35,-72,2,8,46,67,-2,2,-5,0,-2,6,-1,-4,0,-39,2,-1,0,0,0,1,-2,0,0,0,Regular,S20,25,52,-27,L,H
32,03/10/2020,Munster,Scarlets v Munster,3,-6,3,0,1,0,0,81,6,-3,-18,-18,-6,7,-13,-2,-8,2,-1,-3,1,4,0,-1,0,-2,-1,1,1,0,1,1,Regular,S20,30,27,3,W,A
34,03/10/2020,Scarlets,Scarlets v Munster,-3,6,-3,0,-1,0,0,-81,-6,3,18,18,6,-7,13,2,8,-2,1,3,-1,-4,0,1,0,2,1,-1,-1,0,-1,-1,Regular,S20,27,30,-3,L,H
53,08/11/2020,Scarlets,Scarlets v Zebre,1,-2,1,0,0,0,30,123,17,4,57,-36,-17,3,-2,2,-1,-2,-2,4,0,23,1,7,-2,-1,0,3,2,3,0,0,Regular,S20,18,17,1,W,H
54,08/11/2020,Zebre,Scarlets v Zebre,-1,2,-1,0,0,0,-30,-123,-17,-4,-57,36,17,-3,2,-2,1,2,2,-4,0,-23,-1,-7,2,1,0,-3,-2,-3,0,0,Regular,S20,17,18,-1,L,A
17,02/10/2020,Benetton,Ulster v Benetton,-2,1,-2,0,0,0,38,164,5,-1,58,-53,-5,13,-10,2,-3,-6,-2,-2,1,29,1,0,0,1,1,-2,0,0,-1,0,Regular,S20,24,35,-11,L,A
21,02/10/2020,Ulster,Ulster v Benetton,2,-1,2,0,0,0,-38,-164,-5,1,-58,53,5,-13,10,-2,3,6,2,2,-1,-29,-1,0,0,-1,-1,2,0,0,1,0,Regular,S20,35,24,11,W,H
152,25/10/2020,Dragons,Ulster v Dragons,-4,1,-3,0,-1,0,-34,-85,14,3,-14,74,-14,1,-6,-7,-3,3,3,-5,0,-39,-1,-1,1,2,-1,2,0,-4,-1,0,Regular,S20,17,40,-23,L,A
154,25/10/2020,Ulster,Ulster v Dragons,4,-1,3,0,1,0,34,85,-14,-3,14,-74,14,-1,6,7,3,-3,-3,5,0,39,1,1,-1,-2,1,-2,0,4,1,0,Regular,S20,40,17,23,W,H
67,09/11/2020,Glasgow,Ulster v Glasgow Warriors,-4,1,-4,0,0,0,21,-41,-1,0,23,-58,1,4,-3,-1,1,-1,2,-2,0,40,-1,-2,0,0,-1,2,-3,0,0,0,Regular,S20,15,40,-25,L,A
68,09/11/2020,Ulster,Ulster v Glasgow Warriors,4,-1,4,0,0,0,-21,41,1,0,-23,58,-1,-4,3,1,-1,1,-2,2,0,-40,1,2,0,0,1,-2,3,0,0,0,Regular,S20,40,15,25,W,H
45,06/03/2021,Leinster,Ulster v Leinster,2,1,3,0,-1,0,32,118,-9,-5,-14,-62,9,-1,3,-5,-4,2,0,1,0,30,2,-7,0,-3,0,2,-4,-2,1,-1,Regular,S20,38,19,19,W,A
47,06/03/2021,Ulster,Ulster v Leinster,-2,-1,-3,0,1,0,-32,-118,9,5,14,62,-9,1,-3,5,4,-2,0,-1,0,-30,-2,7,0,3,0,-2,4,2,-1,1,Regular,S20,19,38,-19,L,H
14,02/01/2021,Munster,Ulster v Munster,-1,0,0,0,0,0,-42,-210,-15,-5,-58,41,15,-2,-1,-3,3,1,0,0,2,-31,-2,-5,2,-2,0,0,-1,-2,0,0,Regular,S20,10,15,-5,L,A
15,02/01/2021,Ulster,Ulster v Munster,1,0,0,0,0,0,42,210,15,5,58,-41,-15,2,1,3,-3,-1,0,0,-2,31,2,5,-2,2,0,0,1,2,0,0,Regular,S20,15,10,5,W,H
159,26/02/2021,Ospreys,Ulster v Ospreys,-2,0,-1,0,0,-1,-58,-225,-9,-2,-36,57,9,-5,2,-3,0,-1,3,5,0,-51,0,1,1,-2,0,4,-1,0,1,0,Regular,S20,7,21,-14,L,A
160,26/02/2021,Ulster,Ulster v Ospreys,2,0,1,0,0,1,58,225,9,2,36,-57,-9,5,-2,3,0,1,-3,-5,0,51,0,-1,-1,2,0,-4,1,0,-1,0,Regular,S20,21,7,14,W,H
134,22/11/2020,Scarlets,Ulster v Scarlets,0,0,-1,0,3,0,-50,-234,8,-1,-35,83,-8,3,-2,1,3,7,1,2,0,-55,-1,-10,0,-2,-1,-4,-1,-3,-2,0,Regular,S20,24,26,-2,L,A
135,22/11/2020,Ulster,Ulster v Scarlets,0,0,1,0,-3,0,50,234,-8,1,35,-83,8,-3,2,-1,-3,-7,-1,-2,0,55,1,10,0,2,1,4,1,3,2,0,Regular,S20,26,24,2,W,H
111,19/03/2021,Ulster,Ulster v Zebre,7,-1,7,0,0,0,43,345,20,19,124,1,-20,0,1,22,-3,4,-2,-8,0,6,4,2,0,0,-1,5,-2,0,0,-1,Regular,S20,49,3,46,W,H
112,19/03/2021,Zebre,Ulster v Zebre,-7,1,-7,0,0,0,-43,-345,-20,-19,-124,-1,20,0,-1,-22,3,-4,2,8,0,-6,-4,-2,0,0,1,-5,2,0,0,1,Regular,S20,3,49,-46,L,A
55,09/01/2021,Benetton,Zebre v Benetton,0,-2,1,0,-1,0,-10,-59,1,2,-1,4,-1,-1,1,1,-3,0,0,-2,0,-7,2,13,0,5,0,6,2,0,0,0,Regular,S20,18,22,-4,L,A
62,09/01/2021,Zebre,Zebre v Benetton,0,2,-1,0,1,0,10,59,-1,-2,1,-4,1,1,-1,-1,3,0,0,2,0,7,-2,-13,0,-5,0,-6,-2,0,0,0,Regular,S20,22,18,4,W,H
18,02/10/2020,Cardiff,Zebre v Cardiff Blues,1,1,1,0,2,0,-69,-65,-2,-11,-132,60,2,-9,20,3,7,-2,-5,2,-1,-37,-3,2,0,-1,0,2,-1,1,-1,1,Regular,S20,16,6,10,W,A
22,02/10/2020,Zebre,Zebre v Cardiff Blues,-1,-1,-1,0,-2,0,69,65,2,11,132,-60,-2,9,-20,-3,-7,2,5,-2,1,37,3,-2,0,1,0,-2,1,-1,1,-1,Regular,S20,6,16,-10,L,H
131,22/11/2020,Connacht,Zebre v Connacht,5,2,1,0,3,1,16,172,3,8,-39,-16,-3,-3,14,-2,5,-8,-3,-1,1,18,-4,-2,0,1,-1,0,-4,2,-1,1,Regular,S20,47,12,35,W,A
136,22/11/2020,Zebre,Zebre v Connacht,-5,-2,-1,0,-3,-1,-16,-172,-3,-8,39,16,3,3,-14,2,-5,8,3,1,-1,-18,4,2,0,-1,1,0,4,-2,1,-1,Regular,S20,12,47,-35,L,H
167,27/02/2021,Dragons,Zebre v Dragons,0,-3,-1,0,-1,0,-26,46,3,3,-20,59,-3,4,-13,1,-1,-2,4,-4,1,-37,2,2,0,-2,1,6,-2,0,2,0,Regular,S20,15,26,-11,L,A
170,27/02/2021,Zebre,Zebre v Dragons,0,3,1,0,1,0,26,-46,-3,-3,20,-59,3,-4,13,-1,1,2,-4,4,-1,37,-2,-2,0,2,-1,-6,2,0,-2,0,Regular,S20,26,15,11,W,H
137,23/01/2021,Edinburgh,Zebre v Edinburgh,1,3,1,0,0,0,40,238,4,0,51,-41,-4,-9,2,3,-2,1,-2,0,0,37,2,0,0,-2,0,-2,2,2,1,1,Regular,S20,26,10,16,W,A
140,23/01/2021,Zebre,Zebre v Edinburgh,-1,-3,-1,0,0,0,-40,-238,-4,0,-51,41,4,9,-2,-3,2,-1,2,0,0,-37,-2,0,0,2,0,2,-2,-2,-1,-1,Regular,S20,10,26,-16,L,H
44,06/03/2021,Glasgow,Zebre v Glasgow Warriors,2,-1,2,0,-1,0,29,109,-1,-6,32,-27,1,-2,8,5,3,2,-4,2,1,26,2,2,0,0,0,0,2,0,0,0,Regular,S20,31,20,11,W,A
48,06/03/2021,Zebre,Zebre v Glasgow Warriors,-2,1,-2,0,1,0,-29,-109,1,6,-32,27,-1,2,-8,-5,-3,-2,4,-2,-1,-26,-2,-2,0,0,0,0,-2,0,0,0,Regular,S20,20,31,-11,L,H
80,12/03/2021,Leinster,Zebre v Leinster,4,-3,3,0,1,0,-25,154,15,-4,-13,8,-15,6,-10,0,0,-1,1,-7,0,-6,3,5,0,0,0,6,-1,0,0,0,Regular,S20,48,31,17,W,A
84,12/03/2021,Zebre,Zebre v Leinster,-4,3,-3,0,-1,0,25,-154,-15,4,13,-8,15,-6,10,0,0,1,-1,7,0,6,-3,-5,0,0,0,-6,1,0,0,0,Regular,S20,31,48,-17,L,H
26,02/11/2020,Ospreys,Zebre v Ospreys,0,-2,0,0,1,0,-30,-146,-6,-3,-42,46,6,0,-9,-3,-8,3,5,5,-1,-27,2,-5,0,-3,1,2,-4,-1,-1,0,Regular,S20,17,23,-6,L,A
28,02/11/2020,Zebre,Zebre v Ospreys,0,2,0,0,-1,0,30,146,6,3,42,-46,-6,0,9,3,8,-3,-5,-5,1,27,-2,5,0,3,-1,-2,4,1,1,0,Regular,S20,23,17,6,W,H
101,16/11/2020,Ulster,Zebre v Ulster,7,0,4,0,2,0,56,202,16,10,43,-61,-16,2,1,5,0,2,-2,-4,0,36,-4,-2,1,0,0,-2,0,0,0,0,Regular,S20,57,14,43,W,A
102,16/11/2020,Zebre,Zebre v Ulster,-7,0,-4,0,-2,0,-56,-202,-16,-10,-43,61,16,-2,-1,-5,0,-2,2,4,0,-36,4,2,-1,0,0,2,0,0,0,0,Regular,S20,14,57,-43,L,H
