season,team,match_location,outcome,outcome_binary,final_points_absolute,final_points_relative,abs_carries,abs_metres_made,abs_defenders_beaten,abs_clean_breaks,abs_offloads,abs_passes,abs_turnovers_conceded,abs_turnovers_won,abs_kicks_from_hand,abs_kick_metres,abs_scrums_won,abs_rucks_won,abs_lineout_throws_lost,abs_lineout_throws_won,abs_tackles,abs_missed_tackles,abs_penalties_conceded,abs_scrum_pens_conceded,abs_lineout_pens_conceded,abs_general_play_pens_conceded,abs_free_kicks_conceded,abs_ruck_maul_tackle_pen_con,abs_red_cards,abs_yellow_cards,rel_carries,rel_metres_made,rel_defenders_beaten,rel_clean_breaks,rel_offloads,rel_passes,rel_turnovers_conceded,rel_turnovers_won,rel_kicks_from_hand,rel_kick_metres,rel_scrums_won,rel_rucks_won,rel_lineout_throws_lost,rel_lineout_throws_won,rel_tackles,rel_missed_tackles,rel_penalties_conceded,rel_scrum_pens_conceded,rel_lineout_pens_conceded,rel_general_play_pens_conceded,rel_free_kicks_conceded,rel_ruck_maul_tackle_pen_con,rel_red_cards,rel_yellow_cards
22/23,Dragons RFC,home,win,1,31,17,99,256,21,2,14,109,8,5,21,776,4,4,1,15,162,20,14,3,0,6,0,1,0,0,-19,-11,1,0,6,-39,-2,0,7,203,-4,1,-2,2,61,-1,0,1,0,3,-1,-2,0,-1
22/23,Scarlets,away,loss,0,14,-17,118,267,20,2,8,148,10,5,14,573,8,3,3,13,101,21,14,2,0,3,1,3,0,1,19,11,-1,0,-6,39,2,0,-7,-203,4,-1,2,-2,-61,1,0,-1,0,-3,1,2,0,1
22/23,Ulster Rugby,home,win,1,28,14,145,423,16,3,6,190,20,7,17,547,8,5,1,14,135,26,6,4,0,1,1,0,0,0,28,7,-10,0,-6,31,3,-4,-2,-103,1,-1,-1,6,-50,10,-6,2,0,1,1,-1,0,-1
22/23,Edinburgh Rugby,away,loss,0,14,-14,117,416,26,3,12,159,17,11,19,650,7,6,2,8,185,16,12,2,0,0,0,1,0,1,-28,-7,10,0,6,-31,-3,4,2,103,-1,1,1,-6,50,-10,6,-2,0,-1,-1,1,0,1
23/24,Ulster Rugby,away,win,1,40,4,87,356,12,7,10,125,9,2,26,1047,2,4,1,12,108,13,13,6,1,2,0,1,0,2,-21,-30,-1,5,3,0,3,0,-3,-67,-6,-2,1,-5,20,1,7,6,0,-1,0,0,0,2
23/24,Zebre Parma,home,loss,0,36,-4,108,386,13,2,7,125,6,2,29,1114,8,6,0,17,88,12,6,0,1,3,0,1,0,0,21,30,1,-5,-3,0,-3,0,3,67,6,2,-1,5,-20,-1,-7,-6,0,1,0,0,0,-2
23/24,Connacht Rugby,home,win,1,34,8,135,525,17,11,7,210,13,9,20,724,4,4,1,11,168,15,13,2,1,1,1,2,0,0,-2,179,2,9,2,18,3,3,-2,-60,-2,-4,-3,1,14,-2,5,0,1,1,1,0,0,0
23/24,Ospreys,away,loss,0,26,-8,137,346,15,2,5,192,10,6,22,784,6,8,4,10,154,17,8,2,0,0,0,2,0,0,2,-179,-2,-9,-2,-18,-3,-3,2,60,2,4,3,-1,-14,2,-5,0,-1,-1,-1,0,0,0
23/24,Dragons RFC,home,loss,0,17,-5,81,265,7,5,11,108,12,6,25,993,4,8,1,13,98,18,19,3,1,4,1,3,0,0,-13,-47,-11,0,2,-28,3,-1,0,-165,-6,3,0,-5,25,11,9,2,1,3,0,0,0,0
23/24,Edinburgh Rugby,away,win,1,22,5,94,312,18,5,9,136,9,7,25,1158,10,5,1,18,73,7,10,1,0,1,1,3,0,0,13,47,11,0,-2,28,-3,1,0,165,6,-3,0,5,-25,-11,-9,-2,-1,-3,0,0,0,0
23/24,Emirates Lions,home,loss,0,33,-2,96,308,20,7,11,140,14,3,16,972,7,3,0,19,59,17,11,4,0,4,1,1,0,0,26,-83,3,2,2,60,4,0,-7,174,2,1,0,8,-66,-3,0,-1,0,2,0,0,0,0
23/24,DHL Stormers,away,win,1,35,2,70,391,17,5,9,80,10,3,23,798,5,2,0,11,125,20,11,5,0,2,1,1,0,0,-26,83,-3,-2,-2,-60,-4,0,7,-174,-2,-1,0,-8,66,3,0,1,0,-2,0,0,0,0
23/24,Benetton Rugby,away,win,1,23,1,135,436,18,4,3,159,13,8,33,944,5,7,0,14,130,18,16,3,0,3,1,2,0,0,9,206,0,2,-7,3,1,-2,2,-237,0,0,0,2,-16,0,6,0,0,0,0,0,-1,0
23/24,Cardiff Rugby,home,loss,0,22,-1,126,230,18,2,10,156,12,10,31,1181,5,7,0,12,146,18,10,3,0,3,1,2,1,0,-9,-206,0,-2,7,-3,-1,2,-2,237,0,0,0,-2,16,0,-6,0,0,0,0,0,1,0
23/24,Munster Rugby,home,win,1,34,13,125,402,16,7,11,173,10,8,25,863,6,5,3,14,139,29,6,2,0,1,1,3,0,0,0,-10,-13,1,3,-13,-3,2,8,193,0,-2,3,1,-13,13,-6,1,-1,-1,1,0,0,-1
23/24,Hollywoodbets Sharks,away,loss,0,21,-13,125,412,29,6,8,186,13,6,17,670,6,7,0,13,152,16,12,1,1,2,0,3,0,1,0,10,13,-1,-3,13,3,-2,-8,-193,0,2,-3,-1,13,-13,6,-1,1,1,-1,0,0,1
23/24,Vodacom Bulls,home,win,1,63,42,121,661,19,10,18,144,14,5,22,731,6,5,1,14,89,9,10,3,0,2,2,2,0,0,37,375,10,3,6,34,1,-1,9,155,-1,1,-2,8,-17,-10,-1,0,0,-1,2,0,0,0
23/24,Scarlets,away,loss,0,21,-42,84,286,9,7,12,110,13,6,13,576,7,4,3,6,106,19,11,3,0,3,0,2,0,0,-37,-375,-10,-3,-6,-34,-1,1,-9,-155,1,-1,2,-8,17,10,1,0,0,1,-2,0,0,0
23/24,Glasgow Warriors,home,win,1,43,18,119,449,31,9,13,160,7,8,14,607,9,5,4,12,189,18,15,1,0,1,0,4,0,1,-22,21,13,8,9,-5,-6,3,4,55,4,0,4,2,66,-13,0,-4,0,0,-1,-1,0,-1
23/24,Leinster Rugby,away,loss,0,25,-18,141,428,18,1,4,165,13,5,10,552,5,5,0,10,123,31,15,5,0,1,1,5,0,2,22,-21,-13,-8,-9,5,6,-3,-4,-55,-4,0,-4,-2,-66,13,0,4,0,0,1,1,0,1
23/24,Zebre Parma,away,loss,0,31,-3,84,231,16,6,6,94,16,5,25,988,6,2,0,13,112,16,13,4,0,4,0,1,0,1,-25,-212,0,-2,1,-54,5,-2,-3,-48,-3,-1,-2,0,20,0,6,2,0,3,0,1,0,1
23/24,Ospreys,home,win,1,34,3,109,443,16,8,5,148,11,7,28,1036,9,3,2,13,92,16,7,2,0,1,0,0,0,0,25,212,0,2,-1,54,-5,2,3,48,3,1,2,0,-20,0,-6,-2,0,-3,0,-1,0,-1
23/24,Connacht Rugby,home,win,1,34,8,112,429,11,6,7,171,12,12,21,802,6,3,2,6,187,30,12,3,1,3,2,1,0,1,-44,-57,-19,0,-8,-66,-8,4,9,222,1,-3,0,-7,59,19,-1,0,1,-1,1,-1,0,1
23/24,Glasgow Warriors,away,loss,0,26,-8,156,486,30,6,15,237,20,8,12,580,5,6,2,13,128,11,13,3,0,4,1,2,0,0,44,57,19,0,8,66,8,-4,-9,-222,-1,3,0,7,-59,-19,1,0,-1,1,-1,1,0,-1
23/24,DHL Stormers,home,win,1,52,45,132,658,26,13,24,172,20,7,26,858,8,4,2,11,116,15,9,2,0,5,1,2,0,0,19,448,11,11,12,39,9,1,3,112,0,-4,-1,3,1,-11,-3,-3,-1,0,0,2,0,0
23/24,Scarlets,away,loss,0,7,-45,113,210,15,2,12,133,11,6,23,746,8,8,3,8,115,26,12,5,1,5,1,0,0,0,-19,-448,-11,-11,-12,-39,-9,-1,-3,-112,0,4,1,-3,-1,11,3,3,1,0,0,-2,0,0
23/24,Hollywoodbets Sharks,away,loss,0,13,-21,101,501,23,5,11,120,20,7,33,1093,9,8,0,7,129,17,12,1,1,3,0,2,0,0,-19,-17,6,-3,8,-53,2,-4,3,-344,3,0,-3,-9,41,-6,4,1,0,1,-1,1,0,-1
23/24,Leinster Rugby,home,win,1,34,21,120,518,17,8,3,173,18,11,30,1437,6,8,3,16,88,23,8,0,1,2,1,1,0,1,19,17,-6,3,-8,53,-2,4,-3,344,-3,0,3,9,-41,6,-4,-1,0,-1,1,-1,0,1
23/24,Emirates Lions,away,loss,0,16,-1,135,391,22,3,7,158,9,9,21,789,5,5,1,12,80,21,12,3,1,0,2,2,0,1,49,-34,1,-5,-2,44,-2,3,3,102,0,-1,-4,0,-97,-1,-1,0,0,-2,1,-1,0,0
23/24,Edinburgh Rugby,home,win,1,17,1,86,425,21,8,9,114,11,6,18,687,5,6,5,12,177,22,13,3,1,2,1,3,0,1,-49,34,-1,5,2,-44,2,-3,-3,-102,0,1,4,0,97,1,1,0,0,2,-1,1,0,0
23/24,Cardiff Rugby,away,win,1,16,7,104,444,17,6,7,106,11,7,42,1302,5,5,2,6,126,13,11,4,1,1,2,1,0,0,1,189,4,2,5,10,-2,4,2,31,-2,-5,1,-9,21,-4,0,2,1,-2,1,-2,0,0
23/24,Dragons RFC,home,loss,0,9,-7,103,255,13,4,2,96,13,3,40,1271,7,10,1,15,105,17,11,2,0,3,1,3,0,0,-1,-189,-4,-2,-5,-10,2,-4,-2,-31,2,5,-1,9,-21,4,0,-2,-1,2,-1,2,0,0
23/24,Ulster Rugby,home,win,1,26,7,150,474,20,5,15,167,14,5,13,613,6,5,4,11,168,16,9,3,0,1,2,0,0,1,30,188,4,3,5,28,6,-3,-7,-21,-3,-1,0,5,-5,-4,-7,1,0,-3,1,-4,0,1
23/24,Vodacom Bulls,away,loss,0,19,-7,120,286,16,2,10,139,8,8,20,634,9,6,4,6,173,20,16,2,0,4,1,4,0,0,-30,-188,-4,-3,-5,-28,-6,3,7,21,3,1,0,-5,5,4,7,-1,0,3,-1,4,0,-1
23/24,Glasgow Warriors,home,win,1,20,11,101,246,22,7,6,129,11,4,23,819,13,7,2,14,117,11,14,3,2,6,2,5,0,0,6,-8,11,6,1,25,-2,-1,5,146,8,5,-4,3,-16,-11,-2,-2,-1,3,-2,3,0,-2
23/24,DHL Stormers,away,loss,0,9,-11,95,254,11,1,5,104,13,5,18,673,5,2,6,11,133,22,16,5,3,3,4,2,0,2,-6,8,-11,-6,-1,-25,2,1,-5,-146,-8,-5,4,-3,16,11,2,2,1,-3,2,-3,0,2
23/24,Hollywoodbets Sharks,away,loss,0,5,-14,112,442,13,2,7,141,18,3,27,949,7,6,2,7,143,9,13,2,1,5,2,1,0,1,11,126,4,-1,5,43,5,-2,-2,-203,-3,0,0,-6,16,-4,6,1,1,3,2,-1,0,1
23/24,Ospreys,home,win,1,19,14,101,316,9,3,2,98,13,5,29,1152,10,6,2,13,127,13,7,1,0,2,0,2,0,0,-11,-126,-4,1,-5,-43,-5,2,2,203,3,0,0,6,-16,4,-6,-1,-1,-3,-2,1,0,-1
23/24,Zebre Parma,home,loss,0,29,-25,70,265,9,4,5,94,5,6,22,854,4,2,1,7,140,24,17,6,1,2,1,2,0,0,-61,-269,-15,-3,-7,-65,-4,2,2,-3,-2,-6,-1,-10,61,15,11,6,1,0,1,1,0,0
23/24,Vodacom Bulls,away,win,1,54,25,131,534,24,7,12,159,9,4,20,857,6,8,2,17,79,9,6,0,0,2,0,1,0,0,61,269,15,3,7,65,4,-2,-2,3,2,6,1,10,-61,-15,-11,-6,-1,0,-1,-1,0,0
23/24,Edinburgh Rugby,away,loss,0,27,-9,100,446,23,5,9,126,14,8,27,1022,7,6,1,12,124,11,12,3,1,3,1,3,0,1,-19,-56,12,-1,-2,-34,-3,-1,5,114,0,4,-2,1,19,-12,3,-1,0,1,1,3,0,1
23/24,Leinster Rugby,home,win,1,36,9,119,502,11,6,11,160,17,9,22,908,7,2,3,11,105,23,9,4,1,2,0,0,0,0,19,56,-12,1,2,34,3,1,-5,-114,0,-4,2,-1,-19,12,-3,1,0,-1,-1,-3,0,-1
23/24,Scarlets,home,win,1,31,6,85,201,15,3,3,119,9,3,26,876,4,5,0,17,120,16,13,5,0,0,0,2,0,2,-17,-160,-1,-3,-3,23,-2,-1,1,147,-3,-1,-4,8,9,1,4,5,-1,-5,0,1,0,2
23/24,Cardiff Rugby,away,loss,0,25,-6,102,361,16,6,6,96,11,4,25,729,7,6,4,9,111,15,9,0,1,5,0,1,0,0,17,160,1,3,3,-23,2,1,-1,-147,3,1,4,-8,-9,-1,-4,-5,1,5,0,-1,0,-2
23/24,Dragons RFC,away,loss,0,14,-31,85,164,11,2,2,117,13,8,23,773,4,6,2,16,137,21,5,0,1,1,0,1,0,0,-32,-461,-10,-8,-4,-28,0,2,-3,28,-4,0,1,6,32,10,-5,0,1,-3,0,-2,0,0
23/24,Munster Rugby,home,win,1,45,31,117,625,21,10,6,145,13,6,26,745,8,6,1,10,105,11,10,0,0,4,0,3,0,0,32,461,10,8,4,28,0,-2,3,-28,4,0,-1,-6,-32,-10,5,0,-1,3,0,2,0,0
23/24,Connacht Rugby,home,win,1,22,2,172,441,31,7,10,218,9,4,25,1116,5,7,2,15,108,15,9,2,0,0,1,4,0,0,75,39,16,4,-1,103,-3,-3,0,171,1,4,-2,10,-112,-16,-8,0,0,-6,1,-2,0,0
23/24,Ulster Rugby,away,loss,0,20,-2,97,402,15,3,11,115,12,7,25,945,4,3,4,5,220,31,17,2,0,6,0,6,0,0,-75,-39,-16,-4,1,-103,3,3,0,-171,-1,-4,2,-10,112,16,8,0,0,6,-1,2,0,0
23/24,Emirates Lions,away,loss,0,10,-5,156,365,20,2,6,194,16,6,32,1344,9,10,1,14,115,11,10,0,0,2,0,0,0,0,46,-5,9,-3,-2,48,7,-6,0,10,3,2,0,1,-87,-9,-2,-2,-1,0,0,-2,0,0
23/24,Benetton Rugby,home,win,1,15,5,110,370,11,5,8,146,9,12,32,1334,6,8,1,13,202,20,12,2,1,2,0,2,0,0,-46,5,-9,3,2,-48,-7,6,0,-10,-3,-2,0,-1,87,9,2,2,1,0,0,2,0,0
23/24,Zebre Parma,home,win,1,12,2,115,196,13,2,4,95,12,7,20,774,8,5,2,17,144,13,4,1,0,0,0,0,0,0,2,-170,0,-2,-1,-74,-4,-1,1,204,6,0,2,3,-2,0,-11,-2,0,-7,0,-4,-1,-1
23/24,Hollywoodbets Sharks,away,loss,0,10,-2,113,366,13,4,5,169,16,8,19,570,2,5,0,14,146,13,15,3,0,7,0,4,1,1,-2,170,0,2,1,74,4,1,-1,-204,-6,0,-2,-3,2,0,11,2,0,7,0,4,1,1
23/24,Cardiff Rugby,home,loss,0,12,-6,125,539,23,8,10,212,21,8,24,835,3,4,3,10,119,22,9,3,0,2,0,1,0,0,27,151,1,4,5,101,11,-2,-4,-243,-6,-6,-1,-5,-19,-1,-1,3,-1,-1,-1,0,0,-1
23/24,Vodacom Bulls,away,win,1,18,6,98,388,22,4,5,111,10,10,28,1078,9,10,4,15,138,23,10,0,1,3,1,1,0,1,-27,-151,-1,-4,-5,-101,-11,2,4,243,6,6,1,5,19,1,1,-3,1,1,1,0,0,1
23/24,Ulster Rugby,home,win,1,21,7,116,340,19,7,8,155,12,7,25,699,7,6,1,8,179,14,14,4,1,4,1,1,0,0,-13,70,5,6,3,-3,-3,-1,11,145,-4,-3,-3,-2,51,-5,1,2,1,0,1,-2,0,-1
23/24,Munster Rugby,away,loss,0,14,-7,129,270,14,1,5,158,15,8,14,554,11,9,4,10,128,19,13,2,0,4,0,3,0,1,13,-70,-5,-6,-3,3,3,1,-11,-145,4,3,3,2,-51,5,-1,-2,-1,0,-1,2,0,1
23/24,Benetton Rugby,home,win,1,20,3,107,177,13,2,5,135,5,6,35,1035,8,6,3,13,100,16,11,1,0,3,0,1,0,0,14,-89,-3,-3,-1,14,-13,1,8,91,6,5,-1,1,-49,3,2,-1,-1,0,-1,0,0,0
23/24,DHL Stormers,away,loss,0,17,-3,93,266,16,5,6,121,18,5,27,944,2,1,4,12,149,13,9,2,1,3,1,1,0,0,-14,89,3,3,1,-14,13,-1,-8,-91,-6,-5,1,-1,49,-3,-2,1,1,0,1,0,0,0
23/24,Glasgow Warriors,away,win,1,31,8,95,215,6,1,5,120,14,8,25,977,5,4,1,18,130,16,11,2,1,2,0,3,0,1,-6,-102,-10,-2,1,-25,2,3,-3,26,1,-3,1,7,3,10,-1,-1,1,0,-1,1,0,0
23/24,Ospreys,home,loss,0,23,-8,101,317,16,3,4,145,12,5,28,951,4,7,0,11,127,6,12,3,0,2,1,2,0,1,6,102,10,2,-1,25,-2,-3,3,-26,-1,3,-1,-7,-3,-10,1,1,-1,0,1,-1,0,0
23/24,Scarlets,home,loss,0,23,-1,114,368,25,4,14,150,15,5,24,790,7,6,1,12,144,20,9,3,1,2,2,1,0,0,1,60,5,0,12,42,1,-2,0,15,2,0,-2,4,27,-5,-1,1,1,-2,1,-2,0,0
23/24,Emirates Lions,away,win,1,24,1,113,308,20,4,2,108,14,7,24,775,5,6,3,8,117,25,10,2,0,4,1,3,0,0,-1,-60,-5,0,-12,-42,-1,2,0,-15,-2,0,2,-4,-27,5,1,-1,-1,2,-1,2,0,0
23/24,Edinburgh Rugby,home,win,1,25,3,120,464,25,5,11,146,11,7,38,1248,6,3,1,15,180,15,9,0,1,2,1,1,0,1,-41,78,10,2,4,-57,-2,1,3,-35,3,-2,0,7,66,-10,1,-1,1,0,1,0,0,1
23/24,Connacht Rugby,away,loss,0,22,-3,161,386,15,3,7,203,13,6,35,1283,3,5,1,8,114,25,8,1,0,2,0,1,0,0,41,-78,-10,-2,-4,57,2,-1,-3,35,-3,2,0,-7,-66,10,-1,1,-1,0,-1,0,0,-1
23/24,Leinster Rugby,away,win,1,33,23,80,301,17,6,10,98,12,5,25,1055,9,3,2,13,97,10,11,2,0,3,1,3,0,0,-8,142,7,5,8,2,4,-2,-4,90,3,-3,1,-2,13,-7,-6,-6,0,-1,-1,1,-1,-1
23/24,Dragons RFC,home,loss,0,10,-23,88,159,10,1,2,96,8,7,29,965,6,6,1,15,84,17,17,8,0,4,2,2,1,1,8,-142,-7,-5,-8,-2,-4,2,4,-90,-3,3,-1,2,-13,7,6,6,0,1,1,-1,1,1
23/24,Vodacom Bulls,away,loss,0,23,-8,71,218,17,3,4,70,11,3,35,1005,3,4,1,8,120,19,13,0,1,3,0,2,1,2,-45,-131,-2,-3,-8,-74,4,-1,1,-174,-1,-2,1,-2,41,2,-2,-2,0,0,-2,-3,1,1
23/24,Edinburgh Rugby,home,win,1,31,8,116,349,19,6,12,144,7,4,34,1179,4,6,0,10,79,17,15,2,1,3,2,5,0,1,45,131,2,3,8,74,-4,1,-1,174,1,2,-1,2,-41,-2,2,2,0,0,2,3,-1,-1
23/24,Emirates Lions,away,loss,0,17,-7,94,236,10,3,7,92,15,6,33,998,5,4,4,13,121,13,9,3,2,1,2,2,0,0,-8,-10,-3,0,0,-7,3,-1,-1,66,-4,-1,0,6,5,3,0,2,1,-1,0,2,0,0
23/24,Ulster Rugby,home,win,1,24,7,102,246,13,3,7,99,12,7,34,932,9,5,4,7,116,10,9,1,1,2,2,0,0,0,8,10,3,0,0,7,-3,1,1,-66,4,1,0,-6,-5,-3,0,-2,-1,1,0,-2,0,0
23/24,Hollywoodbets Sharks,home,loss,0,12,-1,139,513,29,5,14,190,17,5,31,1017,4,7,4,12,83,8,13,2,0,3,0,1,0,0,59,360,21,4,9,90,4,-4,-1,-218,-4,3,2,0,-55,-21,0,2,0,-4,0,-2,0,-1
23/24,Connacht Rugby,away,win,1,13,1,80,153,8,1,5,100,13,9,32,1235,8,4,2,12,138,29,13,0,0,7,0,3,0,1,-59,-360,-21,-4,-9,-90,-4,4,1,218,4,-3,-2,0,55,21,0,-2,0,4,0,2,0,1
23/24,Ospreys,away,loss,0,5,-15,88,247,13,4,6,101,10,9,31,1011,6,4,3,11,120,25,14,3,1,3,0,3,1,1,-25,-228,-12,-3,0,-31,-7,2,0,-24,-1,0,1,0,14,12,6,0,0,3,-2,3,1,1
23/24,Dragons RFC,home,win,1,20,15,113,475,25,7,6,132,17,7,31,1035,7,4,2,11,106,13,8,3,1,0,2,0,0,0,25,228,12,3,0,31,7,-2,0,24,1,0,-1,0,-14,-12,-6,0,0,-3,2,-3,-1,-1
23/24,Munster Rugby,home,win,1,10,7,109,217,16,2,8,132,18,7,26,1098,7,6,2,13,93,22,8,4,0,3,0,0,0,0,22,-108,-6,-1,-1,28,4,-3,-6,121,-3,3,-2,6,-48,6,-1,3,-2,1,-1,-1,0,-1
23/24,DHL Stormers,away,loss,0,3,-7,87,325,22,3,9,104,14,10,32,977,10,3,4,7,141,16,9,1,2,2,1,1,0,1,-22,108,6,1,1,-28,-4,3,6,-121,3,-3,2,-6,48,-6,1,-3,2,-1,1,1,0,1
23/24,Scarlets,away,loss,0,5,-49,138,340,14,1,8,166,12,8,16,750,5,10,4,10,145,27,14,2,1,4,1,4,0,2,-19,-293,-13,-7,-6,-62,-1,-1,-6,-200,0,2,4,-4,-48,13,4,1,0,2,1,1,0,2
23/24,Leinster Rugby,home,win,1,54,49,157,633,27,8,14,228,13,9,22,950,5,8,0,14,193,14,10,1,1,2,0,3,0,0,19,293,13,7,6,62,1,1,6,200,0,-2,-4,4,48,-13,-4,-1,0,-2,-1,-1,0,-2
23/24,Benetton Rugby,away,loss,0,12,-14,144,459,12,2,6,184,21,9,27,870,4,4,3,13,93,31,6,2,0,3,1,1,0,0,41,1,-19,-7,0,48,9,-1,-5,-146,-4,-2,2,-1,-58,19,-7,1,0,2,1,-2,0,-2
23/24,Glasgow Warriors,home,win,1,26,14,103,458,31,9,6,136,12,10,32,1016,8,6,1,14,151,12,13,1,0,1,0,3,0,2,-41,-1,19,7,0,-48,-9,1,5,146,4,2,-2,1,58,-19,7,-1,0,-2,-1,2,0,2
23/24,Cardiff Rugby,home,win,1,31,7,92,237,20,4,4,110,14,9,36,1205,8,2,0,8,122,15,9,4,1,1,0,1,0,0,-23,-214,5,1,-9,-37,-4,4,11,333,1,-2,-1,-5,14,-5,1,2,1,-1,-1,0,0,-1
23/24,DHL Stormers,away,loss,0,24,-7,115,451,15,3,13,147,18,5,25,872,7,4,1,13,108,20,8,2,0,2,1,1,0,1,23,214,-5,-1,9,37,4,-4,-11,-333,-1,2,1,5,-14,5,-1,-2,-1,1,1,0,0,1
23/24,Edinburgh Rugby,home,loss,0,22,-2,113,269,23,5,8,155,14,9,27,918,8,2,1,12,150,6,10,0,0,3,0,4,0,0,-3,-69,17,2,4,12,2,3,5,203,5,-4,-1,-1,37,-17,-5,-5,-1,1,-2,4,-1,-1
23/24,Benetton Rugby,away,win,1,24,2,116,338,6,3,4,143,12,6,22,715,3,6,2,13,113,23,15,5,1,2,2,0,1,1,3,69,-17,-2,-4,-12,-2,-3,-5,-203,-5,4,1,1,-37,17,5,5,1,-1,2,-4,1,1
23/24,Zebre Parma,away,loss,0,19,-42,52,149,17,4,5,81,7,0,17,732,3,3,2,16,116,32,10,2,0,3,1,3,0,0,-60,-280,-15,-6,-2,-78,1,-6,-9,-371,-2,-2,1,0,74,15,3,1,-1,2,1,3,0,0
23/24,Emirates Lions,home,win,1,61,42,112,429,32,10,7,159,6,6,26,1103,5,5,1,16,42,17,7,1,1,1,0,0,0,0,60,280,15,6,2,78,-1,6,9,371,2,2,-1,0,-74,-15,-3,-1,1,-2,-1,-3,0,0
23/24,Ospreys,home,win,1,31,22,110,387,27,3,5,112,10,8,27,996,6,4,1,15,111,9,10,3,0,1,0,0,0,0,16,213,18,2,-8,4,-2,2,7,253,0,-3,-3,8,-21,-18,-10,0,-2,-3,-1,-3,0,-1
23/24,Scarlets,away,loss,0,9,-22,94,174,9,1,13,108,12,6,20,743,6,7,4,7,132,27,20,3,2,4,1,3,0,1,-16,-213,-18,-2,8,-4,2,-2,-7,-253,0,3,3,-8,21,18,10,0,2,3,1,3,0,1
23/24,Vodacom Bulls,home,win,1,53,26,122,475,25,7,14,151,9,2,24,695,5,3,0,11,156,15,8,1,0,2,0,1,0,1,-13,150,10,1,4,-63,-1,-2,4,46,1,0,-3,0,27,-10,0,-1,0,0,-1,0,0,0
23/24,Connacht Rugby,away,loss,0,27,-26,135,325,15,6,10,214,10,4,20,649,4,3,3,11,129,25,8,2,0,2,1,1,0,1,13,-150,-10,-1,-4,63,1,2,-4,-46,-1,0,3,0,-27,10,0,1,0,0,1,0,0,0
23/24,Hollywoodbets Sharks,home,win,1,69,55,122,506,21,11,14,160,13,7,25,1008,9,4,0,19,69,13,4,0,0,2,0,1,0,0,55,207,8,5,9,76,-3,0,4,293,7,1,-3,12,-42,-8,-15,-7,-2,-2,0,-1,0,-1
23/24,Dragons RFC,away,loss,0,14,-55,67,299,13,6,5,84,16,7,21,715,2,3,3,7,111,21,19,7,2,4,0,2,0,1,-55,-207,-8,-5,-9,-76,3,0,-4,-293,-7,-1,3,-12,42,8,15,7,2,2,0,1,0,1
23/24,Munster Rugby,away,loss,0,16,-5,134,349,19,5,4,184,12,5,24,959,5,2,1,14,147,18,15,4,0,1,2,6,0,1,8,-2,1,-4,-3,38,-1,-1,5,134,-1,-2,0,1,-25,-1,2,3,0,0,2,4,0,1
23/24,Leinster Rugby,home,win,1,21,5,126,351,18,9,7,146,13,6,19,825,6,4,1,13,172,19,13,1,0,1,0,2,0,0,-8,2,-1,4,3,-38,1,1,-5,-134,1,2,0,-1,25,1,-2,-3,0,0,-2,-4,0,-1
23/24,Ulster Rugby,away,loss,0,20,-13,139,300,11,2,6,168,8,5,13,455,4,6,2,6,193,20,17,2,0,4,0,4,0,1,-16,-111,-9,-3,-3,-51,-2,-2,-1,-77,1,2,-1,-8,12,9,8,2,0,0,0,1,0,1
23/24,Glasgow Warriors,home,win,1,33,13,155,411,20,5,9,219,10,7,14,532,3,4,3,14,181,11,9,0,0,4,0,3,0,0,16,111,9,3,3,51,2,2,1,77,-1,-2,1,8,-12,-9,-8,-2,0,0,0,-1,0,-1
23/24,Munster Rugby,home,win,1,40,11,121,413,22,4,1,163,8,7,17,515,2,5,4,8,118,18,11,1,0,3,0,2,0,1,21,126,4,4,-4,25,-4,2,3,-153,-4,1,3,-3,-54,-4,-3,1,-2,2,0,-4,0,-1
23/24,Glasgow Warriors,away,loss,0,29,-11,100,287,18,0,5,138,12,5,14,668,6,4,1,11,172,22,14,0,2,1,0,6,0,2,-21,-126,-4,-4,4,-25,4,-2,-3,153,4,-1,-3,3,54,4,3,-1,2,-2,0,4,0,1
23/24,Vodacom Bulls,home,win,1,44,34,78,363,19,7,12,88,11,8,26,1160,11,1,1,9,122,17,14,2,0,5,0,3,0,1,-22,-78,2,4,4,-45,-2,4,8,602,7,-5,-1,-4,60,-2,2,-2,0,2,-2,1,0,0
23/24,Hollywoodbets Sharks,away,loss,0,10,-34,100,441,17,3,8,133,13,4,18,558,4,6,2,13,62,19,12,4,0,3,2,2,0,1,22,78,-2,-4,-4,45,2,-4,-8,-602,-7,5,1,4,-60,2,-2,2,0,-2,2,-1,0,0
23/24,Scarlets,away,win,1,29,6,147,493,26,7,8,200,6,5,22,873,6,5,2,10,103,10,13,3,1,5,0,0,0,0,57,168,16,3,5,100,-6,1,-5,-104,1,2,1,1,-82,-16,7,2,1,2,0,-1,-1,0
23/24,Cardiff Rugby,home,loss,0,23,-6,90,325,10,4,3,100,12,4,27,977,5,3,1,9,185,26,6,1,0,3,0,1,1,0,-57,-168,-16,-3,-5,-100,6,-1,5,104,-1,-2,-1,-1,82,16,-7,-2,-1,-2,0,1,1,0
23/24,Dragons RFC,away,loss,0,24,-25,97,429,20,8,14,169,15,5,16,625,5,6,4,14,109,30,11,0,0,3,0,3,0,2,-9,-240,-10,-3,3,38,5,-5,-10,-395,2,3,2,5,21,10,5,-2,0,2,0,3,-1,2
