season,team,match_location,outcome,outcome_binary,final_points_absolute,final_points_relative,abs_carries,abs_metres_made,abs_defenders_beaten,abs_clean_breaks,abs_offloads,abs_passes,abs_turnovers_conceded,abs_turnovers_won,abs_kicks_from_hand,abs_kick_metres,abs_scrums_won,abs_rucks_won,abs_lineout_throws_lost,abs_lineout_throws_won,abs_tackles,abs_missed_tackles,abs_penalties_conceded,abs_scrum_pens_conceded,abs_lineout_pens_conceded,abs_general_play_pens_conceded,abs_free_kicks_conceded,abs_ruck_maul_tackle_pen_con,abs_red_cards,abs_yellow_cards,rel_carries,rel_metres_made,rel_defenders_beaten,rel_clean_breaks,rel_offloads,rel_passes,rel_turnovers_conceded,rel_turnovers_won,rel_kicks_from_hand,rel_kick_metres,rel_scrums_won,rel_rucks_won,rel_lineout_throws_lost,rel_lineout_throws_won,rel_tackles,rel_missed_tackles,rel_penalties_conceded,rel_scrum_pens_conceded,rel_lineout_pens_conceded,rel_general_play_pens_conceded,rel_free_kicks_conceded,rel_ruck_maul_tackle_pen_con,rel_red_cards,rel_yellow_cards
21/22,Munster Rugby,home,win,1,34,16,114,257,17,1,9,103,13,3,26,979,4,5,1,12,106,24,11,1,0,2,0,2,0,0,-3,-164,-7,-5,-13,-33,2,-2,14,454,-1,-6,-3,-3,-14,7,-1,0,-2,-1,0,1,0,-1
21/22,DHL Stormers,away,loss,0,18,-16,117,421,24,6,22,136,11,5,12,525,5,11,4,15,120,17,12,1,2,3,0,1,0,1,3,164,7,5,13,33,-2,2,-14,-454,1,6,3,3,14,-7,1,0,2,1,0,-1,0,1
21/22,Benetton Rugby,away,loss,0,8,-20,116,202,9,1,8,110,16,6,18,670,11,5,1,12,150,13,14,3,2,1,1,3,0,1,-6,-96,-4,-2,1,-32,5,2,-5,47,3,2,0,-2,8,4,1,-2,2,-2,0,-4,0,0
21/22,Ulster Rugby,home,win,1,28,20,122,298,13,3,7,142,11,4,23,623,8,3,1,14,142,9,13,5,0,3,1,7,0,1,6,96,4,2,-1,32,-5,-2,5,-47,-3,-2,0,2,-8,-4,-1,2,-2,2,0,4,0,0
21/22,Hollywoodbets Sharks,away,win,1,27,14,90,451,14,8,9,113,16,9,41,1784,7,5,1,8,103,15,10,4,0,3,1,1,0,0,3,99,-1,6,6,-21,-5,0,6,220,0,3,0,-5,8,1,2,2,-1,0,1,0,0,0
21/22,Ospreys,home,loss,0,13,-14,87,352,15,2,3,134,21,9,35,1564,7,2,1,13,95,14,8,2,1,3,0,1,0,0,-3,-99,1,-6,-6,21,5,0,-6,-220,0,-3,0,5,-8,-1,-2,-2,1,0,-1,0,0,0
21/22,Leinster Rugby,home,win,1,43,36,169,646,37,7,10,225,12,5,23,972,7,7,2,14,66,15,6,1,0,1,0,0,0,0,102,379,22,4,2,138,-3,-6,0,124,3,4,-2,5,-91,-21,-6,-2,0,-3,-2,-4,0,-1
21/22,Zebre Parma,away,loss,0,7,-36,67,267,15,3,8,87,15,11,23,848,4,3,4,9,157,36,12,3,0,4,2,4,0,1,-102,-379,-22,-4,-2,-138,3,6,0,-124,-3,-4,2,-5,91,21,6,2,0,3,2,4,0,1
21/22,Glasgow Warriors,home,win,1,13,4,95,386,20,6,11,125,12,5,24,673,10,5,0,9,73,4,15,8,0,2,2,3,0,0,31,181,16,6,5,50,-1,0,7,-148,-1,0,-2,-2,-12,-16,8,6,0,-1,1,1,0,0
21/22,Emirates Lions,away,loss,0,9,-4,64,205,4,0,6,75,13,5,17,821,11,5,2,11,85,20,7,2,0,3,1,2,0,0,-31,-181,-16,-6,-5,-50,1,0,-7,148,1,0,2,2,12,16,-8,-6,0,1,-1,-1,0,0
21/22,Connacht Rugby,home,loss,0,22,-13,147,424,20,5,14,163,18,6,16,620,5,8,0,14,151,24,11,3,0,2,1,4,0,0,25,69,-4,0,8,27,5,-3,-9,-96,-3,4,-2,7,-30,4,-3,1,0,-2,1,-1,0,-1
21/22,Dragons RFC,away,win,1,35,13,122,355,24,5,6,136,13,9,25,716,8,4,2,7,181,20,14,2,0,4,0,5,0,1,-25,-69,4,0,-8,-27,-5,3,9,96,3,-4,2,-7,30,-4,3,-1,0,2,-1,1,0,1
